JobTime,TR_PRESS,TR_PRESS2,SLUR_RATE,SLUR_RATE2,CFLD_RATE,PROP_CON,BH_PROP_CON,TMT_CFLD,TMT_PROP,BH_PRESS,PROP_CON2,HVFR_Conc,J218_conc,JOB_PROP,POD_CR_LIQ1_CONC_RAW,Biocide_Conc,NET_PRESS,NS_TIMER,JOB_SLUR,JOB_CFLD,J609W_CONC
#NULL,PSI,PSI,B/M,B/M,B/M,PPAC,PPAC,BBL,LB,PSI,PPAC,G/MG,LKGA,LB,G/MG,G/MG,PSI,MIN,BBL,BBL,G/MG
28:10:15:10:46:44,-35.5338,-1.20168,0,1.3819,0,0,0,1.305,0,3247.24,0,0,0,0,0,0,-4240.89,0,1.30451,1.305,0
28:10:15:10:46:45,-36.3921,-0.915582,0,1.37388,0,0,0,1.305,0,3247.24,0,0,0,0,0,0,-4240.89,0,1.30451,1.305,0
28:10:15:10:46:46,-36.3921,-0.629481,0,1.38991,0,0,0,1.305,0,3247.24,0,0,0,0,0,0,-4240.89,0,1.30451,1.305,0
28:10:15:10:46:47,-35.8199,-1.20168,0,1.40192,0,0,0,1.305,0,3247.24,0,0,0,0,0,0,-4240.89,0,1.30451,1.305,0
28:10:15:10:46:48,-36.3921,-0.629481,0,1.41528,0,0,0,1.305,0,3247.24,0,0,0,0,0,0,-4240.89,0,1.30451,1.305,0
28:10:15:10:46:49,-35.5338,-1.20168,0,1.40994,0,0,0,1.305,0,3247.24,0,0,0,0,0,0,-4240.89,0,1.30451,1.305,0
28:10:15:10:46:50,-35.2477,-0.915582,0,1.39658,0,0,0,1.305,0,3247.24,0,0,0,0,0,0,-4240.89,0,1.30451,1.305,0
28:10:15:10:46:51,-36.3921,-0.343379,0,1.38456,0,0,0,1.305,0,3247.24,0,0,0,0,0,0,-4240.89,0,1.30451,1.305,0
28:10:15:10:46:52,-35.5338,-0.915582,0,1.39391,0,0,0,1.305,0,3247.24,0,0,0,0,0,0,-4240.89,0,1.30451,1.305,0
28:10:15:10:46:53,-36.106,-0.629481,0,1.39792,0,0,0,1.305,0,3247.24,0,0,0,0,0,0,-4240.89,0,1.30451,1.305,0
28:10:15:10:46:54,-35.8199,-1.20168,0,1.39792,0,0,0,1.305,0,3247.24,0,0,0,0,0,0,-4240.89,0,1.30451,1.305,0
28:10:15:10:46:55,-35.8199,-0.915582,0,1.37522,0,0,0,1.305,0,3247.24,0,0,0,0,0,0,-4240.89,0,1.30451,1.305,0
28:10:15:10:46:56,-35.2477,-0.915582,0,1.3632,0,0,0,1.305,0,3247.24,0,0,0,0,0,0,-4240.89,0,1.30451,1.305,0
28:10:15:10:46:57,-35.5338,-0.629481,0,1.34718,0,0,0,1.305,0,3247.24,0,0,0,0,0,0,-4240.89,0,1.30451,1.305,0
28:10:15:10:46:58,-36.106,-1.48778,0,1.35386,0,0,0,1.305,0,3247.24,0,0,0,0,0,0,-4240.89,0,1.30451,1.305,0
28:10:15:10:46:59,-35.5338,-0.629481,0,1.37121,0,0,0,1.305,0,3247.24,0,0,0,0,0,0,-4240.89,0,1.30451,1.305,0
28:10:15:10:47:00,-35.8199,-0.915582,0,1.3859,0,0,0,1.305,0,3247.24,0,0,0,0,0,0,-4240.89,0,1.30451,1.305,0
28:10:15:10:47:01,-36.106,-1.20168,0,1.40059,0,0,0,1.305,0,3247.24,0,0,0,0,0,0,-4240.89,0,1.30451,1.305,0
28:10:15:10:47:02,-35.5338,-0.343379,0,1.40994,0,0,0,1.305,0,3247.24,0,0,0,0,0,0,-4240.89,0,1.30451,1.305,0
28:10:15:10:47:03,-35.8199,-0.915582,0,1.40726,0,0,0,1.305,0,3247.24,0,0,0,0,0,0,-4240.89,0,1.30451,1.305,0
28:10:15:10:47:04,-35.8199,-1.20168,0,1.39658,0,0,0,1.305,0,3247.24,0,0,0,0,0,0,-4240.89,0,1.30451,1.305,0
28:10:15:10:47:05,-36.106,-1.20168,0,1.3899,0,0,0,1.305,0,3247.24,0,0,0,0,0,0,-4240.89,0,1.30451,1.305,0
28:10:15:10:47:06,-35.5338,-1.20168,0,1.37388,0,0,0,1.305,0,3247.24,0,0,0,0,0,0,-4240.89,0,1.30451,1.305,0
28:10:15:10:47:07,-36.106,-1.20168,0,1.37789,0,0,0,1.305,0,3247.24,0,0,0,0,0,0,-4240.89,0,1.30451,1.305,0
28:10:15:10:47:08,-35.8199,-0.629481,0,1.39925,0,0,0,1.305,0,3247.24,0,0,0,0,0,0,-4240.89,0,1.30451,1.305,0
28:10:15:10:47:09,-36.106,-0.915582,0,1.39258,0,0,0,1.305,0,3247.24,0,0,0,0,0,0,-4240.89,0,1.30451,1.305,0
28:10:15:10:47:10,-35.8199,-1.20168,0,1.39124,0,0,0,1.305,0,3247.24,0,0,0,0,0,0,-4240.89,0,1.30451,1.305,0
28:10:15:10:47:11,-35.8199,-1.20168,0,1.38724,0,0,0,1.305,0,3247.24,0,0,0,0,0,0,-4240.89,0,1.30451,1.305,0
28:10:15:10:47:12,-36.106,-0.915582,0,1.35519,0,0,0,1.305,0,3247.24,0,0,0,0,0,0,-4240.89,0,1.30451,1.305,0
28:10:15:10:47:13,-35.5338,-0.629481,0,1.35786,0,0,0,1.305,0,3247.24,0,0,0,0,0,0,-4240.89,0,1.30451,1.305,0
28:10:15:10:47:14,-35.8199,-0.915582,0,1.37789,0,0,0,1.305,0,3247.24,0,0,0,0,0,0,-4240.89,0,1.30451,1.305,0
28:10:15:10:47:15,-36.106,-0.629481,0,1.38857,0,0,0,1.305,0,3247.24,0,0,0,0,0,0,-4240.89,0,1.30451,1.305,0
28:10:15:10:47:16,-35.8199,-1.20168,0,1.39525,0,0,0,1.305,0,3247.24,0,0,0,0,0,0,-4240.89,0,1.30451,1.305,0
28:10:15:10:47:17,-35.8199,-1.48778,0,1.39124,0,0,0,1.305,0,3247.24,0,0,0,0,0,0,-4240.89,0,1.30451,1.305,0
28:10:15:10:47:18,-34.9616,-0.343379,0,1.37121,0,0,0,1.305,0,3247.24,0,0,0,0,0,0,-4240.89,0,1.30451,1.305,0
28:10:15:10:47:19,-34.9616,-1.20168,0,1.35786,0,0,0,1.305,0,3247.24,0,0,0,0,0,0,-4240.89,0,1.30451,1.305,0
28:10:15:10:47:20,-35.5338,-1.20168,0,1.36721,0,0,0,1.305,0,3247.24,0,0,0,0,0,0,-4240.89,0,1.30451,1.305,0
28:10:15:10:47:21,-35.5338,-0.629481,0,1.36854,0,0,0,1.305,0,3247.24,0,0,0,0,0,0,-4240.89,0,1.30451,1.305,0
28:10:15:10:47:22,-35.8199,-0.915582,0,1.36988,0,0,0,1.305,0,3247.24,0,0,0,0,0,0,-4240.89,0,1.30451,1.305,0
28:10:15:10:47:23,-35.8199,-0.343379,0,1.37121,0,0,0,1.305,0,3247.24,0,0,0,0,0,0,-4240.89,0,1.30451,1.305,0
28:10:15:10:47:24,-35.8199,-1.20168,0,1.37121,0,0,0,1.305,0,3247.24,0,0,0,0,0,0,-4240.89,0,1.30451,1.305,0
28:10:15:10:47:25,-35.2477,-0.629481,0,1.37255,0,0,0,1.305,0,3247.24,0,0,0,0,0,0,-4240.89,0,1.30451,1.305,0
28:10:15:10:47:26,-35.5338,-0.629481,0,1.3819,0,0,0,1.305,0,3247.24,0,0,0,0,0,0,-4240.89,0,1.30451,1.305,0
28:10:15:10:47:27,-35.8199,-1.77389,0,1.39391,0,0,0,1.305,0,3247.24,0,0,0,0,0,0,-4240.89,0,1.30451,1.305,0
28:10:15:10:47:28,-35.5338,-0.915582,0,1.38323,0,0,0,1.305,0,3247.24,0,0,0,0,0,0,-4240.89,0,1.30451,1.305,0
28:10:15:10:47:29,-35.8199,-0.915582,0,1.37922,0,0,0,1.305,0,3247.24,0,0,0,0,0,0,-4240.89,0,1.30451,1.305,0
28:10:15:10:47:30,-35.5338,-0.915582,0,1.35786,0,0,0,1.305,0,3247.24,0,0,0,0,0,0,-4240.89,0,1.30451,1.305,0
28:10:15:10:47:31,-35.8199,-0.915582,0,1.34451,0,0,0,1.305,0,3247.24,0,0,0,0,0,0,-4240.89,0,1.30451,1.305,0
28:10:15:10:47:32,-35.5338,-1.48778,0,1.35786,0,0,0,1.305,0,3247.24,0,0,0,0,0,0,-4240.89,0,1.30451,1.305,0
28:10:15:10:47:33,-35.5338,-1.20168,0,1.3632,0,0,0,1.305,0,3247.24,0,0,0,0,0,0,-4240.89,0,1.30451,1.305,0
28:10:15:10:47:34,-35.8199,-0.915582,0,1.36454,0,0,0,1.305,0,3247.24,0,0,0,0,0,0,-4240.89,0,1.30451,1.305,0
28:10:15:10:47:35,-36.3921,-0.915582,0,1.36587,0,0,0,1.305,0,3247.24,0,0,0,0,0,0,-4240.89,0,1.30451,1.305,0
