JobTime,TR_PRESS,TR_PRESS2,SLUR_RATE,SLUR_RATE2,CFLD_RATE,PROP_CON,BH_PROP_CON,TMT_CFLD,TMT_PROP,BH_PRESS,PROP_CON2,HVFR_Conc,J218_conc,JOB_PROP,POD_CR_LIQ1_CONC_RAW,Biocide_Conc,NET_PRESS,NS_TIMER,JOB_SLUR,JOB_CFLD,J609W_CONC,Scale_CONC,TR_PRESS_DERIV
#NULL,PSI,PSI,B/M,B/M,B/M,PPAC,PPAC,BBL,LB,PSI,PPAC,G/MG,LKGA,LB,G/MG,G/MG,PSI,MIN,BBL,BBL,G/MG,G/MG,PSMN
13:11:15:14:20:24,-38.6809,4.52034,0,0.0667572,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,5.65847
13:11:15:14:20:25,-39.2531,4.80644,0,0.0640869,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,4.61618
13:11:15:14:20:26,-40.3975,6.52305,0,0.065424,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,3.94187
13:11:15:14:20:27,-40.6837,6.23695,0,0.0667572,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,2.76507
13:11:15:14:20:28,-39.5392,5.66475,0,0.0627537,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,0.300472
13:11:15:14:20:29,-39.8253,5.37864,0,0.0627537,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,-1.86531
13:11:15:14:20:30,-40.3975,5.95085,0,0.0667572,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,-2.66051
13:11:15:14:20:31,-40.1115,5.95085,0,0.065424,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,-3.18642
13:11:15:14:20:32,-40.6837,5.95085,0,0.065424,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,-4.02656
13:11:15:14:20:33,-39.8253,5.66475,0,0.0640869,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,-4.81265
13:11:15:14:20:34,-40.3975,6.23695,0,0.0667572,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,-5.26425
13:11:15:14:20:35,-40.3975,5.66475,0,0.065424,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,-5.17703
13:11:15:14:20:36,-39.2531,5.37864,0,0.0667572,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,-5.08251
13:11:15:14:20:37,-40.3975,6.23695,0,0.0614185,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,-4.58264
13:11:15:14:20:38,-39.2531,5.66475,0,0.0627537,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,-3.51942
13:11:15:14:20:39,-40.1115,5.09254,0,0.0600815,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,-2.5949
13:11:15:14:20:40,-39.5392,5.09254,0,0.0600815,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,-1.67129
13:11:15:14:20:41,-39.8253,5.37864,0,0.0614185,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,-0.911526
13:11:15:14:20:42,-39.8253,5.95085,0,0.0614185,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,-0.30103
13:11:15:14:20:43,-40.3975,5.66475,0,0.0627537,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,0.176031
13:11:15:14:20:44,-39.8253,5.66475,0,0.0667572,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,0.13323
13:11:15:14:20:45,-39.5392,5.37864,0,0.065424,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,-0.172207
13:11:15:14:20:46,-40.1115,6.52305,0,0.0640869,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,0.00193857
13:11:15:14:20:47,-39.8253,6.23695,0,0.0680924,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,0.403759
13:11:15:14:20:48,-40.9697,5.95085,0,0.0667572,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,0.430442
13:11:15:14:20:49,-40.1115,5.66475,0,0.065424,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,-0.0995513
13:11:15:14:20:50,-38.6809,5.09254,0,0.0627537,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,-1.03938
13:11:15:14:20:51,-40.1115,5.95085,0,0.065424,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,-0.787092
13:11:15:14:20:52,-39.5392,5.09254,0,0.0627537,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,0.504723
13:11:15:14:20:53,-40.3975,5.95085,0,0.065424,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,1.07575
13:11:15:14:20:54,-40.1115,5.95085,0,0.065424,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,0.942533
13:11:15:14:20:55,-39.5392,5.66475,0,0.0640869,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,0.408282
13:11:15:14:20:56,-40.1115,5.95085,0,0.0640869,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,0.120513
13:11:15:14:20:57,-39.5392,5.95085,0,0.0640869,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,0.299036
13:11:15:14:20:58,-39.2531,5.37864,0,0.0667572,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,0.426432
13:11:15:14:20:59,-39.5392,5.66475,0,0.0667572,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,0.913406
13:11:15:14:21:00,-40.3975,5.66475,0,0.065424,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,1.66059
13:11:15:14:21:01,-39.5392,5.37864,0,0.0640869,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,1.64402
13:11:15:14:21:02,-38.967,5.37864,0,0.0614185,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,1.04293
13:11:15:14:21:03,-40.3975,5.66475,0,0.0574112,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,1.22108
13:11:15:14:21:04,-39.8253,5.66475,0,0.0627537,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,1.58784
13:11:15:14:21:05,-39.5392,5.37864,0,0.0627537,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,1.01365
13:11:15:14:21:06,-39.8253,5.95085,0,0.0600815,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,0.54211
13:11:15:14:21:07,-39.2531,5.95085,0,0.0614185,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,0.566675
13:11:15:14:21:08,-39.2531,5.09254,0,0.0627537,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,0.70201
13:11:15:14:21:09,-39.2531,5.37864,0,0.0587482,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,1.18645
13:11:15:14:21:10,-39.5392,5.37864,0,0.0627537,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,1.7889
13:11:15:14:21:11,-39.5392,5.37864,0,0.0627537,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,2.06019
13:11:15:14:21:12,-38.3948,4.52034,0,0.0600815,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,1.93506
13:11:15:14:21:13,-40.1115,5.66475,0,0.0600815,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,2.18141
13:11:15:14:21:14,-38.3948,4.52034,0,0.0614185,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,2.57036
13:11:15:14:21:15,-39.5392,5.09254,0,0.0614185,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,2.51941
13:11:15:14:21:16,-38.967,5.37864,0,0.0640869,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,2.67006
13:11:15:14:21:17,-39.8253,5.37864,0,0.0640869,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,2.70194
13:11:15:14:21:18,-39.8253,5.37864,0,0.0667572,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,2.23911
13:11:15:14:21:19,-39.5392,4.80644,0,0.0614185,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,1.27757
13:11:15:14:21:20,-39.8253,5.37864,0,0.0627537,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,0.232576
13:11:15:14:21:21,-39.8253,5.66475,0,0.0667572,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,-0.440931
13:11:15:14:21:22,-39.8253,6.52305,0,0.0600815,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,-1.07729
13:11:15:14:21:23,-40.1115,5.37864,0,0.065424,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,-1.66529
13:11:15:14:21:24,-39.5392,5.09254,0,0.0680924,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,-2.19785
13:11:15:14:21:25,-39.8253,5.66475,0,0.065424,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,-2.53705
13:11:15:14:21:26,-39.8253,5.95085,0,0.065424,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,-2.44903
13:11:15:14:21:27,-39.8253,5.66475,0,0.065424,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,-2.305
13:11:15:14:21:28,-40.3975,5.95085,0,0.065424,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,-2.25681
13:11:15:14:21:29,-40.3975,6.52305,0,0.0627537,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,-2.41778
13:11:15:14:21:30,-40.6837,6.52305,0,0.0667572,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,-3.00243
